wanted_auth_no,company,title,wage,region,cert,education,career,reg_date,due_date,detail_url
K131132609080030,주식회사 동화에이앤티,자재 및 납품관리 모집(기계 가공품 등),"연봉3,500 만원 이상",경남 창원시 의창구,[인증],,관계없음,26-09-08,26-09-23,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609080030
K131132609080029,주식회사선우도장,"철도차량 도장작업자 채용(신입, 경력)","시급10,320 원 이상 ~ 13,000 원 이하",경남 창원시 성산구,[인증],,관계없음,26-09-08,26-09-30,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609080029
K131132609080028,주식회사풍왕,주식회사 풍왕 - 프레스 작업 및 포장 직원 구인 (초보자가능),월급230 만원 이상 ~ 230 만원 이하,경남 창원시 진해구,[인증],,신입,26-09-08,26-10-07,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609080028
K131132609080027,(주)대웅셀테크,중자 성형 조작 및 후처리 생산직 구인,"시급10,320 원 이상",경남 창원시 진해구,[인증],,관계없음,26-09-08,26-09-30,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609080027
K131132609080024,미래로유치원,2026학년도 담임교사 모집,월급216 만원 이상,경남 창원시 진해구,[인증],,관계없음,26-09-08,26-09-22,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609080024
K131132609080023,몽고식품（주）창원1공장,몽고식품(주) 해외영업팀 영업 관리 담당자 모집(신입),월급233 만원 이상,경남 창원시 의창구,[인증],,신입,26-09-08,26-09-30,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609080023
K131132609080022,테크원,방산_도장공 모집,월급350 만원 이상,경남 창원시 의창구,[인증],,경력 1년,26-09-08,26-09-22,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609080022
K131132609080021,주식회사 보훈,(주)보훈 2026년 하반기 퍼포먼스 마케터 채용(경력직),"연봉3,000 만원 이상 ~ 3,000 만원 이하",경남 창원시 의창구,[인증],,경력 1년,26-09-08,26-09-30,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609080021
K131132609080020,주식회사 인시스(INSYS),[창원 신촌동] 사무보조 담당자 모집 (출산·육아휴직 대체),월급250 만원 이상 ~ 250 만원 이하,경남 창원시 성산구,[인증],,신입,26-09-08,26-09-22,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609080020
K131132609080019,주식회사 폴리코리아,[생산팀] MCT/CNC선반 조작원 채용 공고,월급294 만원 이상 ~ 294 만원 이하,경남 창원시 성산구,[인증],,경력  3개월,26-09-08,26-09-22,http://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?callPage=detail&wantedAuthNo=K131132609080019
